Request Id,request_model_execution_time_normalized
5,0.024527314215915474
24,0.037734116769092337
3,0.023099511476138875
94,0.04674707988008683
13,0.02576879471892649
0,0.02435200143782269
16,0.025630531097894614
34,0.03287185874805879
64,0.031930167172375644
22,0.027147566267274485
7,0.029957960520430895
43,0.026546917176993354
47,0.026291499204484217
76,0.022794722102125593
113,0.020462707044844715
99,0.01796771097282451
54,0.022948730178114562
59,0.02064547198571643
115,0.014956804539107128
30,0.02021763337165022
104,0.015225775220240817
98,0.013397986795421651
103,0.013215265715072526
126,0.008715924784039592
105,0.012019119341402854
127,0.008519051607750731
80,0.015274250131726782
117,0.010705635810864906
118,0.01114392417157296
