Request Id,prefill_time_execution_plus_preemption_normalized
4,4.768821617625324e-05
5,4.556217444256216e-05
14,5.1917097104485576e-05
10,5.4174584419958865e-05
26,3.597918387903877e-05
28,5.327269479572202e-05
36,4.900839339716115e-05
24,5.550766632640556e-05
13,3.450595770770804e-05
0,4.7701195572498974e-05
8,5.1145054807496356e-05
15,5.369385469673276e-05
16,2.8612725470701304e-05
6,6.103300668249394e-05
32,4.37588872734942e-05
33,5.746826600743362e-05
22,4.737613165618804e-05
44,5.073848197566443e-05
37,3.4440896823320104e-05
20,6.447376237625082e-05
84,4.9461088454420945e-05
52,5.0737610934738466e-05
56,5.150106504622354e-05
12,4.3813751880538145e-05
63,6.625214276465909e-05
45,6.075066059455794e-05
3,4.30255993776906e-05
79,4.779665730834825e-05
21,4.502562916935399e-05
57,5.7910562605326245e-05
1,4.791106587723708e-05
73,6.929795841173443e-05
7,6.319605682177939e-05
76,3.432042756408972e-05
108,5.511113231629022e-05
31,5.848494201996965e-05
88,5.7407925000597e-05
102,5.096195374813002e-05
94,6.240138620872472e-05
64,5.969648538582181e-05
47,2.9305915379926584e-05
60,5.6532061081265934e-05
48,4.472179591040333e-05
34,6.60291758211331e-05
68,5.2251637055263303e-05
116,5.0166598729023744e-05
29,5.0874990606233524e-05
25,8.09217505264715e-05
30,3.266167605732525e-05
42,5.845205186299215e-05
40,3.898345257068877e-05
38,4.413295912003669e-05
41,5.981592754499412e-05
67,6.751364571536795e-05
61,5.628905582403483e-05
110,6.217498034084048e-05
46,4.7137588771803894e-05
54,5.892499642667781e-05
77,6.0315846264875316e-05
70,5.240349871678939e-05
69,5.5394575215861466e-05
92,6.1286419104882e-05
86,5.63409779952296e-05
17,5.530469446956086e-05
100,5.042706543884169e-05
109,5.994034709660674e-05
65,5.029583802590082e-05
112,5.620446290799151e-05
62,5.735273123418301e-05
2,4.821333018969899e-05
53,6.406185317227859e-05
93,7.059761418214403e-05
104,5.9172810766455e-05
58,6.270575346063544e-05
74,4.825244395045307e-05
66,4.880651995837497e-05
114,5.18604374191053e-05
125,4.009607712341119e-05
126,5.877789136682139e-05
124,5.5570045195613526e-05
78,7.389237251401278e-05
85,5.883721632578449e-05
72,6.861507126056271e-05
101,5.7841109116309064e-05
117,6.130800575881335e-05
120,4.9665441767895194e-05
80,5.984235129873309e-05
82,5.9415787305865744e-05
96,6.730232187750272e-05
122,6.165860840897576e-05
71,5.713902014590324e-05
50,7.570684517267849e-05
118,6.666857626608463e-05
98,7.559891017533205e-05
18,6.003244523999895e-05
90,8.731243117992394e-05
106,4.4914931903908313e-05
39,4.695185797679915e-05
19,6.711553850885495e-05
11,0.00010886025415972602
43,7.195738158527194e-05
9,5.8859366230728896e-05
75,7.747602103463374e-05
51,5.209776706279897e-05
59,5.625465309140293e-05
35,6.053469490081769e-05
115,6.711082101836999e-05
99,4.602768039690377e-05
55,6.732517163294022e-05
83,6.678616936110149e-05
49,6.584497387023288e-05
91,6.554821536144918e-05
27,5.522867150149096e-05
121,5.3099275878068085e-05
107,6.032160969667068e-05
123,0.00010333499364134859
113,5.669918938129178e-05
89,6.081608636005881e-05
119,0.00011577893744753438
23,5.3178529473600494e-05
87,8.004453207914681e-05
81,6.025911076848439e-05
105,0.00010427697536095555
103,6.527183924113879e-05
111,6.752463524501001e-05
97,0.00013709757423973495
127,7.935256963952465e-05
95,0.00011011245603334495
