Request Id,prefill_time_execution_plus_preemption_normalized
4,5.0071243441069246e-05
5,5.254551143084294e-05
10,6.0464433065375094e-05
3,5.306158742767243e-05
14,5.796482671442492e-05
0,5.0135331436980095e-05
1,5.030163921711069e-05
6,6.297895751108269e-05
8,5.816179034573762e-05
15,5.953768877863048e-05
7,6.75001327995897e-05
24,6.60342430428756e-05
13,5.382225631796482e-05
26,7.383038757965936e-05
11,0.00011419539015183118
16,4.145632402997966e-05
9,6.256592312168719e-05
2,5.0623582508369305e-05
28,5.7846122230249686e-05
33,5.984122074598532e-05
19,6.598162331418247e-05
17,6.306696698094907e-05
12,6.260623725653342e-05
20,7.27670046512844e-05
36,5.208673424062258e-05
25,8.806498638689217e-05
22,5.652495792503249e-05
21,5.821800025531402e-05
34,7.115353701130037e-05
32,5.3314949507943785e-05
31,6.412760281366197e-05
45,6.863702809921385e-05
37,4.921151006792394e-05
41,6.319691984403846e-05
44,5.980640773257566e-05
42,6.345567308929346e-05
43,7.293611922786127e-05
29,6.03298271503246e-05
35,6.70732178058826e-05
30,5.541594306966192e-05
47,4.2485044418992977e-05
18,6.788563991607558e-05
57,5.273396835039254e-05
48,5.777554584324519e-05
23,5.992175874032289e-05
52,6.274584771872156e-05
39,5.257314024089287e-05
27,6.0822987633184e-05
38,5.836365625793407e-05
49,7.205078790522399e-05
56,6.665598762584099e-05
40,5.465001960934154e-05
63,6.265188513061964e-05
46,6.459890788387896e-05
67,7.002105225890707e-05
51,6.126839532492091e-05
64,6.718677429281765e-05
65,5.4938547082178545e-05
54,6.839349721427398e-05
58,5.624891824050959e-05
73,7.34133818767349e-05
50,8.303620722214967e-05
55,7.643904786498837e-05
61,6.371175595371342e-05
59,5.726516546761638e-05
53,7.17664534884811e-05
71,6.272133221183383e-05
66,5.067537531847201e-05
60,6.491922681794783e-05
79,6.983434478729741e-05
70,5.6103472146392866e-05
62,6.093986081170386e-05
69,5.898776881407193e-05
84,5.719213475703294e-05
75,7.887110458264427e-05
74,5.7770527434760855e-05
76,6.614742709790742e-05
68,5.9459116533051134e-05
88,6.187725966677782e-05
77,6.423144941887611e-05
72,7.403232471998628e-05
83,6.36589715423363e-05
86,5.415876529623694e-05
78,7.680084342061834e-05
82,6.208584928547369e-05
94,6.69389540466317e-05
80,6.327038130187279e-05
81,5.816362081693794e-05
87,8.276664918835117e-05
85,5.848694520963786e-05
89,6.172330745178971e-05
91,6.697884498688253e-05
90,8.952788307494089e-05
93,7.387827420511448e-05
92,6.829872211531449e-05
102,5.090010981417257e-05
108,6.57936313124826e-05
99,5.687199266258771e-05
96,7.439589526984846e-05
110,6.795623495023365e-05
95,0.00011256659661827904
113,6.40340465316558e-05
104,6.203580487294215e-05
115,5.606141140056284e-05
114,6.487803754561334e-05
109,6.50942079593616e-05
98,9.339125280816043e-05
116,7.178564029853772e-05
119,0.00012255672602424822
103,5.5398661933451364e-05
112,6.300963748472063e-05
105,5.570045183375489e-05
97,0.00014065633281090196
107,6.147630178874154e-05
101,5.91913917841425e-05
121,6.184005952527587e-05
100,5.6610447147404995e-05
111,7.31740602094774e-05
106,5.6081040585506785e-05
117,4.886605521560638e-05
122,6.204693533865772e-05
118,8.012586265471509e-05
120,6.65203576570313e-05
123,0.0001009143215674539
126,5.399415251456066e-05
127,4.423066449842462e-05
125,4.678069820920692e-05
124,6.324950072899417e-05
