request_id,estimated_ttft,current_time,estimated_completion_time,deadline,time_until_deadline,slack,remaining_prefill_tokens,queue_position,ahead_prefill_tokens,is_violation
3,0.32351359004333363,0.2581054418999912,0.5816190319433248,10000.2581054419,10000.0,9999.676486409957,7834,0,0,False
5,0.09456805223375467,0.6568644509933081,0.7514325032270628,10000.652028647404,9999.99516419641,9999.900596144176,2290,0,0,False
7,0.19962531200784717,1.042007627951003,1.2416329399588504,10001.039392614945,9999.997384986993,9999.797759674984,4834,0,0,False
9,1.1103693399393866,1.4127674381842252,2.523136778123612,10001.411137143215,9999.998369705032,9998.888000365092,26888,0,0,False
11,0.7206168172397462,1.506640204501784,2.22725702174153,10001.50309153429,9999.99645132979,9999.27583451255,17450,0,0,False
13,4.32035591993152,1.8925924551252393,6.212948375056759,10001.887764614994,9999.995172159868,9995.674816239936,87169,1,17450,False
15,4.403443658400652,2.2496293203865263,6.653072978787179,10002.233102787317,9999.983473466931,9995.58002980853,2012,2,104619,False
17,4.792370259246723,2.3550377478515525,7.147408007098275,10002.33856766773,9999.983529919878,9995.191159660631,9418,3,106631,False
19,5.322859865794675,2.463854012500579,7.786713878295254,10002.447904286646,9999.984050274146,9994.661190408351,12846,4,116049,False
21,6.008746669091807,2.810160690315086,8.818907359406893,10002.792514229972,9999.982353539657,9993.973606870566,16609,5,128895,False
23,6.2589596946308115,3.0584651480794243,9.317424842710235,10003.024633039959,9999.96616789188,9993.70720819725,6059,6,145504,False
25,6.006599272272525,3.7075756919139966,9.714174964186522,10003.67914042254,9999.971564730626,9993.964965458354,11339,6,134113,False
27,7.902998440254395,3.9019123022543347,11.80491074250873,10003.894549315955,9999.992637013702,9992.089638573447,45922,7,145452,False
29,8.138799129448604,4.004217421504504,12.143016550953107,10003.978737149417,9999.974519727912,9991.835720598463,5710,8,191374,False
31,8.566420169134425,4.14620842954092,12.712628598675344,10004.143310413267,9999.997101983725,9991.43068181459,10355,9,197084,False
33,5.601236826540414,4.692630866276178,10.293867692816592,10004.689005344093,9999.996374477816,9994.395137651276,15366,9,120270,False
35,5.963486151516176,4.818099160785737,10.781585312301914,10004.796134282486,9999.9780351217,9994.014548970183,8772,10,135636,False
37,6.650446653222948,4.915859227363905,11.566305880586853,10004.90164792406,9999.985788696697,9993.335342043474,16635,11,144408,False
39,6.696285316096079,5.0172397831580735,11.713525099254152,10004.999756984425,9999.982517201268,9993.286231885171,1110,12,161043,False
41,6.780446752974853,5.19385819941388,11.974304952388731,10005.170439246487,9999.976581047073,9993.196134294098,2038,13,162153,False
43,7.360285190273608,5.495457344519854,12.85574253479346,10005.465761981046,9999.970304636527,9992.610019446252,14041,14,164191,False
45,7.4043068250688835,5.695997164240801,13.100303989309683,10005.663181526099,9999.967184361858,9992.56287753679,1066,15,178232,False
47,8.22923757241451,6.126105567330696,14.355343139745205,10006.090542396136,9999.964436828805,9991.73519925639,19976,16,179298,False
49,8.266321463639798,6.216756136729476,14.483077600369274,10006.194331062581,9999.977574925852,9991.711253462212,898,17,199274,False
51,9.242189429725325,6.402105313415035,15.64429474314036,10006.356555865259,9999.954450551844,9990.712261122118,23631,18,200172,False
53,9.553685856799216,6.402105313415035,15.955791170214251,10006.38535815476,9999.983252841344,9990.429566984545,7543,19,223803,False
55,10.554950919882018,6.741465266694762,17.296416186576778,10006.715269127648,9999.973803860954,9989.418852941071,24246,20,231346,False
