Request Id,prefill_time_execution_plus_preemption_normalized
5,5.0071243441069246e-05
6,5.254551143084294e-05
11,6.0464433065375094e-05
4,5.306158742767243e-05
15,5.796482671442492e-05
1,5.0135331436980095e-05
2,5.030163921711069e-05
7,6.297895751108269e-05
9,5.816179034573762e-05
16,5.953768877863048e-05
8,6.75001327995897e-05
25,6.60342430428756e-05
14,5.382225631796482e-05
27,7.383038757965936e-05
12,0.00011419539015183118
17,4.145632402997966e-05
10,6.256592312168719e-05
3,5.0623582508369305e-05
29,5.7846122230249686e-05
34,5.984122074598532e-05
20,6.598162331418247e-05
18,6.306696698094907e-05
13,6.260623725653342e-05
21,7.27670046512844e-05
37,5.208673424062258e-05
26,8.806498638689217e-05
23,5.652495792503249e-05
22,5.821800025531402e-05
35,7.115353701130037e-05
33,5.3314949507943785e-05
32,6.412760281366197e-05
46,6.863702809921385e-05
38,4.921151006792394e-05
42,6.319691984403846e-05
45,5.980640773257566e-05
43,6.345567308929346e-05
44,7.293611922786127e-05
30,6.03298271503246e-05
36,6.70732178058826e-05
31,5.541594306966192e-05
48,4.2485044418992977e-05
19,6.788563991607558e-05
58,5.273396835039254e-05
49,5.777554584324519e-05
24,5.992175874032289e-05
53,6.274584771872156e-05
40,5.257314024089287e-05
28,6.0822987633184e-05
39,5.836365625793407e-05
50,7.205078790522399e-05
57,6.665598762584099e-05
41,5.465001960934154e-05
64,6.265188513061964e-05
47,6.459890788387896e-05
68,7.002105225890707e-05
52,6.126839532492091e-05
65,6.718677429281765e-05
66,5.4938547082178545e-05
55,6.839349721427398e-05
59,5.624891824050959e-05
74,7.34133818767349e-05
51,8.303620722214967e-05
56,7.643904786498837e-05
62,6.371175595371342e-05
60,5.726516546761638e-05
54,7.17664534884811e-05
72,6.272133221183383e-05
67,5.067537531847201e-05
61,6.491922681794783e-05
80,6.983434478729741e-05
71,5.6103472146392866e-05
63,6.093986081170386e-05
70,5.898776881407193e-05
85,5.719213475703294e-05
76,7.887110458264427e-05
75,5.7770527434760855e-05
77,6.614742709790742e-05
69,5.9459116533051134e-05
89,6.187725966677782e-05
78,6.423144941887611e-05
73,7.403232471998628e-05
84,6.36589715423363e-05
87,5.415876529623694e-05
79,7.680084342061834e-05
83,6.208584928547369e-05
95,6.69389540466317e-05
81,6.327038130187279e-05
82,5.816362081693794e-05
88,8.276664918835117e-05
86,5.848694520963786e-05
90,6.172330745178971e-05
92,6.697884498688253e-05
91,8.952788307494089e-05
94,7.387827420511448e-05
93,6.829872211531449e-05
103,5.090010981417257e-05
109,6.57936313124826e-05
100,5.687199266258771e-05
97,7.439589526984846e-05
111,6.795623495023365e-05
96,0.00011256659661827904
114,6.40340465316558e-05
105,6.203580487294215e-05
116,5.606141140056284e-05
115,6.487803754561334e-05
110,6.50942079593616e-05
99,9.339125280816043e-05
117,7.178564029853772e-05
120,0.00012255672602424822
104,5.5398661933451364e-05
113,6.300963748472063e-05
106,5.570045183375489e-05
98,0.00014065633281090196
108,6.147630178874154e-05
102,5.91913917841425e-05
122,6.184005952527587e-05
101,5.6610447147404995e-05
112,7.31740602094774e-05
107,5.6081040585506785e-05
130,5.528299535127979e-05
118,4.886605521560638e-05
123,6.204693533865772e-05
119,8.012586265471509e-05
134,5.6373656434307326e-05
129,7.077482773453342e-05
121,6.65203576570313e-05
139,5.463918698059986e-05
124,0.0001009143215674539
137,6.75079104441016e-05
127,5.399415251456066e-05
135,8.91959966312331e-05
128,5.359381746746065e-05
126,4.678069820920692e-05
149,5.565261308907782e-05
151,5.866523471456929e-05
147,6.435949347876532e-05
132,5.895913856328486e-05
125,6.324950072899417e-05
136,8.079695135076132e-05
159,5.927754518949547e-05
133,6.416892238621821e-05
138,6.005678445267511e-05
160,5.957662597831229e-05
131,5.980256878663479e-05
166,6.26175597757283e-05
152,6.259992529540987e-05
156,6.788367089984977e-05
141,5.3596752027359466e-05
143,6.282950140344313e-05
142,5.0290558968137084e-05
