cdf,prefill_time_execution_plus_preemption
0.0,0.040117956030169655
0.01,0.040435838725849965
0.02,0.04075372142153027
0.03,0.041005406021535365
0.04,0.04102539728667722
0.05,0.04104538855181907
0.06,0.041098340276311235
0.07,0.041192492574991274
0.08,0.04128664487367132
0.09,0.0413552551275999
0.1,0.04141109435915276
0.11,0.04146693359070561
0.12,0.045762084348101056
0.13,0.050587149046226826
0.14,0.054937040490574456
0.15,0.05548554590469692
0.16,0.05603405131881939
0.17,0.05671619986059298
0.18,0.05766563465766882
0.19,0.05861506945474467
0.2,0.05911394800785352
0.21,0.059252381565788784
0.22,0.05939081512372404
0.23,0.05944694825012846
0.24,0.059479566967524065
0.25,0.05951218568491967
0.26,0.06084448762202036
0.27,0.062176789559121065
0.28,0.06322666775415321
0.29,0.06328806285194545
0.3,0.0633494579497377
0.31,0.0634258912202624
0.32,0.06352112220670268
0.33,0.06361635319314296
0.34,0.0651392821163937
0.35000000000000003,0.0673760600080497
0.36,0.06961283789970568
0.37,0.07056986604427262
0.38,0.07136692547045342
0.39,0.0725347972305334
0.4,0.07666916766180663
0.41000000000000003,0.08080353809307986
0.42,0.08418604048468183
0.43,0.08606480679694123
0.44,0.08794357310920063
0.45,0.08936892149634783
0.46,0.09043153554340529
0.47000000000000003,0.09149414959046272
0.48,0.09279041027645868
0.49,0.09415342714500849
0.5,0.0955164440135583
0.51,0.09830231428577796
0.52,0.10108818455799763
0.53,0.1037711684308647
0.54,0.1060940499059976
0.55,0.10841693138113051
0.56,0.11118281919726726
0.5700000000000001,0.11450246493965874
0.58,0.11782211068205017
0.59,0.11912210307455176
0.6,0.11941226879210838
0.61,0.119702434509665
0.62,0.11988306459604224
0.63,0.12005000272852208
0.64,0.12026499297304469
0.65,0.12086440011390956
0.66,0.12146380725477443
0.67,0.12186358057394273
0.68,0.1218640862497179
0.6900000000000001,0.12186459192549308
0.7000000000000001,0.12402379210852386
0.71,0.12790994789735918
0.72,0.1317961036861945
0.73,0.13508362018438946
0.74,0.13820009688525858
0.75,0.1413165735861277
0.76,0.14183615167073887
0.77,0.14235572975535007
0.78,0.14602680296146986
0.79,0.16072810909286941
0.8,0.17542941522426897
0.81,0.19179178049998286
0.8200000000000001,0.21023046970608908
0.8300000000000001,0.2286691589121955
0.84,0.23539992822394445
0.85,0.23627673758851458
0.86,0.23715354695308474
0.87,0.26769205103432697
0.88,0.3019382669551532
0.89,0.33254375586272905
0.9,0.33402342866430207
0.91,0.33550310146587514
0.92,0.3384003979432341
0.93,0.34413294177216486
0.9400000000000001,0.34986548560109554
0.9500000000000001,0.37981543547770963
0.96,0.4291393101924723
0.97,0.478463184907234
0.98,0.5127579111289416
0.99,0.5427585949240624
1.0,0.5727592787191833
